text	label
not only must they overcome an enemy adept at technological witchery , they must overcome the curse that marks their destiny . 	0
a young man is found bruised , beaten and stumbling down a secluded road . 	0
at the end of the 80s they went their separate ways with the exception of tim and hotte , who have remained true to their ideals and continue to fight the issues they did as a group . 	0
it is set in the fantasy world middle-earth , created by tolkien in 'the hobbit' , 'the lord of the rings' , and 'the silmarillion' . 	0
babe , a television tabloid reporter , poses as an innocent small-town girl to do an expos&#233 ; on deeds . 	0
he gives t-mon the gun , while t-mon tries to get the trick right . 	0
bobby quickly learns however , that smith is no regular john , and their meeting has unintended consequences that neither of them is prepared to afford . 	0
what they don't know , however , is that they're filming near the secret hideout of slobodan pavle , a serbian war criminal . 	0
the driver finds himself in a dangerous , yet highly political situation ; this time being pursued by a helicopter gunship while carrying a passenger with a suitcase . . . 	0
the story revolves around a dying father and his son , who is trying to learn more about his dad by piecing together the stories he has gathered over the years . 	0
"he has been hired by an american known only as "" wall street "" ( see rule two ) to make a delivery , but when frank stops along route , he notices his "" package "" is moving . "	0
jack valento has the goods on the da and casts a mean shadow over his hand-picked micro-community of indentured employees . 	0
the pied piper production penned by christian otjen concerns a 36-year-old man ( brian wimmer ) who returns to his hometown to confront the harsh reality of his father's supposed suicide . 	0
but a fictitious geoffrey buonardi , with the same paintings and an inventive back story , can become the darling of the art world . 	0
at dinner , his father asks him about his new telescope . 	0
when an international criminal ( dacascos ) kidnaps the daughter of a gang leader ( dmx ) as part of a diamond heist , it causes a city's police to engage in an intensive search ( led by a government agent played by li ) , aided by the father's gangsters . 	0
this movie praise the right to be different and unique . 	0
what he doesn't expect is to get teamed up with a cocky civilian , world class boxing champion kelly robinson ( eddie murphy ) , on a dangerous top secret espionage mission . 	0
and the date of his life turns out to be more than tony bargained for . 	0
while fighting to save themselves , they must prevent petrov from getting a stolen computer chip containing the international banking codes for the new euro . 	0
she soon finds out it's hard to get to know him , or even to get nearby him ! 	0
the sister kills herself when she finds out there is no money to pay for her transplant , and while he is burying her body near the stream they used to play in , the daughter accidentally drowns . 	0
pacino , connery , de nero , schwarzenegger - together on film - for the first time . . . 	0
using two separate filmmaking teams ( an all-white crew filming white residents and an all-black camera crew filming black residents ) , two towns of jasper captures very different racial views by townsfolk in jasper , texas , the location for a racially motivated murder of an african american in 1998 . 	0
twenty years later , much of the world has been scarred by the beast and its offspring . 	0
without the dark spookiness of crystal lake camp , the horror concept completely loses its creepy menace . 	1
so saccharine , i'm not sure i'd be able to take it under normal conditions . 	1
genuine movie magic . . . it transports you to a place somewhere between eavesdropping voyeur and silent referee . 	1
even though it is infused with the sensibility of a video director , it doesn't make for completely empty entertainment	1
bogdanovich taps deep into the hearst mystique , entertainingly reenacting a historic scandal . 	1
for all its bile and incoherence , in praise of love is filled with haunting images and insights . godard may be a lion in winter , but the lion still roars . 	1
so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter's the thing and loaded with actors you're most likely to find on the next inevitable incarnation of the love boat . 	1
has not so much been written as assembled , frankenstein-like , out of other , marginally better shoot-em-ups . 	1
"my little eye is the best little "" horror "" movie i've seen in years . "	1
the film has a few cute ideas and several modest chuckles but it isn't exactly kiddie-friendlyï¿½ alas , santa is more ho-hum than ho-ho-ho and the snowman ( who never gets to play that flute ) has all the charm of a meltdown . 	1
the movie itself is timeless and universal , at once artless and sophisticated in its ability to engross . 	1
attal pushes too hard to make this a comedy or serious drama . he seems to want both , but succeeds in making neither . 	1
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair . 	1
a summer entertainment adults can see without feeling embarrassed , but it could have been more . 	1
stealing harvard is evidence that the farrelly bros . -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green's half-hearted movie career . 	1
the film is rich with colorful characters and enlivened by its strong , convincing picture of rural trinidad . 	1
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be . 	1
the best thing i can say about this film is that i can't wait to see what the director does next . 	1
' . . . the film's considered approach to its subject matter is too calm and thoughtful for agitprop , and the thinness of its characterizations makes it a failure as straight drama . '	1
77 minutes of pokemon may not last 4ever , it just seems like it does . my only wish is that celebi could take me back to a time before i saw this movie and i could just skip it . 	1
"the draw [for "" big bad love "" ] is a solid performance by arliss howard . "	1
this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone . 	1
 . . . watching this film nearly provoked me to take my own life . and if the hours wins 'best picture' i just might . 	1
de niro cries . you'll cry for your money back . 	1
"like "" this is spinal tap "" , only with more pathetic protagonists- and funnier ! "	1
